datestop,sex,race,age,city
01182004,M,Q,31,BROOKLYN
01202004,M,B,28,BROOKLYN
01202004,M,B,19,BROOKLYN
01252004,F,B,36,BROOKLYN
01252004,M,B,39,BROOKLYN
01252004,M,B,27,BROOKLYN
01252004,M,B,42,BROOKLYN
01252004,M,B,24,BROOKLYN
01262004,M,B,24,BROOKLYN
01262004,M,P,23,BROOKLYN
01262004,Z,Z,30,BROOKLYN
01292004,M,B,25,BROOKLYN
01302004,M,B,28,BROOKLYN
01302004,M,B,27,BROOKLYN
01302004,M,B,25,BROOKLYN
01312004,M,B,59,BROOKLYN
01312004,M,B,24,BROOKLYN
01312004,M,B,22,BROOKLYN
01312004,M,B,35,BROOKLYN
01312004,M,B,25,BROOKLYN
02042004,Z,Q,42,BROOKLYN
02052004,M,B,21,BROOKLYN
02052004,M,B,20,BROOKLYN
02062004,M,B,41,BROOKLYN
02062004,M,B,22,BROOKLYN
02062004,Z,Z,26,BROOKLYN
02072004,M,B,22,BROOKLYN
02072004,M,B,39,BROOKLYN
02122004,M,Q,34,BROOKLYN
02132004,M,B,33,BROOKLYN
02132004,M,B,26,BROOKLYN
02142004,M,B,43,BROOKLYN
02142004,M,W,18,BROOKLYN
02142004,Z,Q,16,BROOKLYN
02162004,M,P,17,BROOKLYN
02162004,M,P,18,BROOKLYN
02162004,Z,Z,49,BROOKLYN
02172004,F,B,50,BROOKLYN
02172004,M,B,25,BROOKLYN
02172004,M,B,14,BROOKLYN
02172004,M,Q,24,BROOKLYN
02252004,M,B,21,BROOKLYN
02252004,M,B,17,BROOKLYN
02262004,F,B,17,BROOKLYN
02262004,M,B,16,BROOKLYN
02262004,M,W,16,BROOKLYN
02272004,M,Q,29,BROOKLYN
02272004,M,Z,42,BROOKLYN
02272004,M,Z,39,BROOKLYN
02292004,M,Q,25,BROOKLYN
02292004,M,Q,29,BROOKLYN
03092004,M,Z,41,BROOKLYN
03132004,F,B,41,BROOKLYN
03132004,M,B,43,BROOKLYN
03172004,M,Q,34,BROOKLYN
03212004,M,Q,16,BROOKLYN
03272004,M,B,18,BROOKLYN
03282004,M,P,15,BROOKLYN
03302004,M,B,28,BROOKLYN
04012004,F,B,48,BROOKLYN
04092004,M,B,59,BROOKLYN
04092004,M,Q,43,BROOKLYN
04282004,M,B,43,BROOKLYN
04292004,M,B,18,BROOKLYN
05022004,M,B,41,BROOKLYN
05042004,M,B,29,BROOKLYN
05062004,M,Z,21,BROOKLYN
05152004,M,B,42,BROOKLYN
05182004,M,B,16,BROOKLYN
05222004,M,Z,30,BROOKLYN
05282004,M,B,23,BROOKLYN
06032004,F,Z,40,BROOKLYN
06052004,F,B,25,BROOKLYN
06052004,M,B,18,BROOKLYN
06072004,Z,Z,19,BROOKLYN
06122004,M,B,42,BROOKLYN
06132004,M,Q,19,BROOKLYN
06172004,M,B,17,BROOKLYN
06262004,F,B,34,BROOKLYN
06262004,M,B,17,BROOKLYN
06272004,M,B,18,BROOKLYN
06272004,M,B,21,BROOKLYN
06302004,M,B,30,BROOKLYN
07022004,M,B,20,BROOKLYN
07062004,M,A,21,BROOKLYN
07082004,M,B,48,BROOKLYN
07102004,F,B,35,BROOKLYN
07142004,M,B,15,BROOKLYN
07182004,M,B,24,BROOKLYN
07182004,M,B,19,BROOKLYN
07182004,M,B,25,BROOKLYN
07182004,M,B,35,BROOKLYN
07192004,Z,Z,29,BROOKLYN
07202004,M,Q,16,BROOKLYN
07222004,M,Q,44,BROOKLYN
07232004,M,B,22,BROOKLYN
07252004,M,B,25,BROOKLYN
07292004,M,B,28,BROOKLYN
07292004,M,Z,20,BROOKLYN
08102004,Z,Z,44,BROOKLYN
08112004,M,B,45,BROOKLYN
08242004,M,P,42,BROOKLYN
08242004,M,Q,19,BROOKLYN
08262004,M,B,24,BROOKLYN
08292004,M,B,23,BROOKLYN
08312004,M,B,20,BROOKLYN
09292004,M,B,54,BROOKLYN
10072004,M,B,29,BROOKLYN
10082004,M,Q,31,BROOKLYN
10182004,M,B,27,BROOKLYN
10252004,M,B,35,BROOKLYN
10252004,M,B,22,BROOKLYN
10282004,M,P,49,BROOKLYN
11012004,M,B,19,BROOKLYN
11102004,Z,Z,34,BROOKLYN
11162004,M,B,30,BROOKLYN
11302004,M,B,19,BROOKLYN
12182004,Z,Z,19,BROOKLYN
03062004,M,B,40,BROOKLYN
03122004,M,Q,39,BROOKLYN
05092004,M,B,54,BROOKLYN
05262004,M,B,17,BROOKLYN
09292004,M,Q,19,BROOKLYN
12182004,M,B,19,BROOKLYN
01192004,M,B,46,BROOKLYN
01302004,M,B,43,BROOKLYN
02072004,M,B,18,BROOKLYN
02282004,M,B,21,BROOKLYN
05142004,M,Z,26,BROOKLYN
05142004,M,Z,21,BROOKLYN
06022004,M,Q,45,BROOKLYN
06052004,M,B,22,BROOKLYN
06252004,M,B,39,BROOKLYN
08082004,M,B,29,BROOKLYN
08222004,M,B,22,BROOKLYN
02262004,M,Q,24,BROOKLYN
03032004,M,Q,41,BROOKLYN
03272004,M,B,18,BROOKLYN
03272004,M,B,30,BROOKLYN
04292004,M,B,27,BROOKLYN
06012004,M,B,46,BROOKLYN
06012004,M,B,48,BROOKLYN
06242004,Z,Z,24,BROOKLYN
06252004,M,B,14,BROOKLYN
10292004,M,B,36,BROOKLYN
01232004,M,B,42,BROOKLYN
04082004,M,B,23,BROOKLYN
05302004,M,W,28,BROOKLYN
05302004,Z,Z,31,BROOKLYN
08262004,M,B,41,BROOKLYN
09292004,M,P,25,BROOKLYN
01012004,M,B,27,BROOKLYN
01042004,M,B,31,BROOKLYN
01062004,M,P,44,BROOKLYN
01072004,M,Q,28,BROOKLYN
01082004,F,B,18,BROOKLYN
01082004,M,B,23,BROOKLYN
01112004,F,B,18,BROOKLYN
01112004,M,B,37,BROOKLYN
01122004,M,B,19,BROOKLYN
01182004,M,B,15,BROOKLYN
01182004,M,B,15,BROOKLYN
01202004,M,B,43,BROOKLYN
01202004,M,B,25,BROOKLYN
01202004,M,B,25,BROOKLYN
01212004,M,B,35,BROOKLYN
01222004,F,Q,39,BROOKLYN
01222004,M,Q,20,BROOKLYN
01222004,M,W,24,BROOKLYN
01222004,M,W,21,BROOKLYN
01232004,M,P,24,BROOKLYN
01232004,M,P,25,BROOKLYN
01232004,M,Q,18,BROOKLYN
