026701,178,380,6,600,1,28,58,"2,786"
026702,408,"1,011",20,159,0,25,35,"5,382"
026900,154,736,1,74,0,14,29,"2,769"
027300,555,"1,251",9,175,2,33,49,"5,868"
027401,"3,807",21,0,81,1,4,35,836
027402,"2,761",29,1,58,0,3,19,515
027600,54,256,0,30,1,0,7,125
027700,478,578,8,185,2,31,38,"3,745"
027900,"1,721",875,14,435,2,36,96,"3,787"
028100,"1,547",603,5,133,0,20,54,"1,432"
028300,212,849,15,94,0,5,27,"1,947"
028400,336,276,0,25,0,0,9,248
028500,"1,679",190,3,273,0,9,78,"1,075"
028600,642,45,5,164,0,24,18,293
028700,832,208,6,302,0,8,34,"1,788"
028800,"2,086",96,5,306,0,9,28,567
028900,"1,097",273,4,200,4,26,51,"2,847"
029301,"1,396",135,0,72,0,1,30,241
029302,"3,531",432,6,257,10,16,95,705
029500,"2,644",281,3,240,1,22,114,935
029600,945,321,4,663,0,18,61,537
029700,"2,536",218,3,252,0,6,61,478
030000,"2,644",219,11,391,1,49,64,"2,459"
030100,945,105,0,41,0,5,20,188
030200,631,"5,498",20,105,0,24,179,"2,430"
030701,"4,253",219,1,177,0,13,60,655
030900,"3,190",234,2,111,2,2,40,310
031000,"1,863",840,16,377,1,40,57,"1,221"
031200,675,217,0,155,0,13,16,448
031400,869,242,1,212,0,22,32,588
031600,751,278,0,273,5,8,29,519
031800,717,264,3,182,2,13,29,600
031900,462,74,3,53,0,0,15,144
032300,"3,171",476,5,223,0,10,72,947
032400,481,819,16,73,0,20,49,"1,499"
032600,"1,320",345,5,520,2,30,36,896
032800,870,918,11,281,1,21,75,"1,802"
033000,"1,821",997,19,299,0,18,60,"2,482"
033201,978,669,9,113,0,21,35,"2,290"
033202,586,"1,185",4,170,2,14,37,"2,169"
033400,176,381,5,26,0,2,5,756
033500,"1,680",118,1,72,0,6,40,261
033600,255,"2,495",28,166,6,23,49,"3,166"
033700,"1,613",74,4,207,1,7,77,374
033800,232,"1,737",8,140,0,30,63,"1,608"
034000,336,"1,774",7,162,0,22,62,"2,255"
034200,150,859,2,43,0,33,24,564
034300,745,245,1,83,0,5,12,558
034400,166,808,3,115,0,12,26,606
034500,"1,833",400,8,365,1,38,80,841
034800,291,"3,193",17,181,1,31,100,"2,315"
035000,74,"1,165",6,95,0,20,33,532
035100,"1,847",296,1,177,0,10,50,805
035600,72,"1,483",14,25,0,10,34,389
035800,116,"5,747",39,69,4,24,126,"1,041"
035900,36,489,5,22,0,7,10,"1,492"
036000,440,"1,180",2,129,1,30,30,894
036100,45,"1,544",25,47,0,3,39,"4,316"
036300,86,"1,672",23,26,1,20,48,"5,633"
036400,25,"2,185",8,12,0,6,46,275
